year,age,zero,one,two,three,four
1920.0,20,0.93,0.06,0.01,0.0,0.0
1921.0,20,0.93,0.06,0.01,0.0,0.0
1922.0,20,0.9306930693069307,0.0594059405940594,0.009900990099009901,0.0,0.0
1923.0,20,0.9306930693069307,0.0594059405940594,0.009900990099009901,0.0,0.0
1924.0,20,0.93,0.06,0.01,0.0,0.0
1924.0,20,0.93,0.06,0.01,0.0,0.0
1925.0,20,0.93,0.06,0.01,0.0,0.0
1926.0,20,0.93,0.06,0.01,0.0,0.0
1927.0,20,0.9207920792079208,0.06930693069306931,0.009900990099009901,0.0,0.0
1928.0,20,0.9108910891089109,0.07920792079207921,0.009900990099009901,0.0,0.0
1929.0,20,0.91,0.08,0.01,0.0,0.0
1929.0,20,0.91,0.08,0.01,0.0,0.0
1930.0,20,0.91,0.08,0.01,0.0,0.0
1931.0,20,0.91,0.08,0.01,0.0,0.0
1932.0,20,0.91,0.08,0.01,0.0,0.0
1933.0,20,0.91,0.08,0.01,0.0,0.0
1934.0,20,0.91,0.08,0.01,0.0,0.0
1934.0,20,0.91,0.08,0.01,0.0,0.0
1935.0,20,0.91,0.08,0.01,0.0,0.0
1936.0,20,0.9090909090909091,0.08080808080808081,0.010101010101010102,0.0,0.0
1937.0,20,0.9,0.09,0.01,0.0,0.0
1938.0,20,0.89,0.09,0.02,0.0,0.0
1939.0,20,0.88,0.1,0.02,0.0,0.0
1939.0,20,0.88,0.1,0.02,0.0,0.0
1940.0,20,0.87,0.11,0.02,0.0,0.0
1941.0,20,0.8686868686868687,0.1111111111111111,0.020202020202020204,0.0,0.0
1942.0,20,0.86,0.12,0.02,0.0,0.0
1943.0,20,0.85,0.12,0.03,0.0,0.0
1944.0,20,0.8484848484848485,0.12121212121212122,0.030303030303030304,0.0,0.0
1944.0,20,0.8484848484848485,0.12121212121212122,0.030303030303030304,0.0,0.0
1945.0,20,0.8383838383838383,0.13131313131313133,0.030303030303030304,0.0,0.0
1946.0,20,0.83,0.13,0.04,0.0,0.0
1947.0,20,0.83,0.13,0.04,0.0,0.0
1948.0,20,0.82,0.14,0.04,0.0,0.0
1949.0,20,0.82,0.14,0.04,0.0,0.0
1949.0,20,0.82,0.14,0.04,0.0,0.0
1950.0,20,0.8181818181818182,0.1414141414141414,0.04040404040404041,0.0,0.0
1951.0,20,0.81,0.15,0.04,0.0,0.0
1952.0,20,0.8080808080808081,0.15151515151515152,0.04040404040404041,0.0,0.0
1953.0,20,0.81,0.15,0.04,0.0,0.0
1954.0,20,0.82,0.14,0.04,0.0,0.0
1954.0,20,0.82,0.14,0.04,0.0,0.0
1955.0,20,0.82,0.14,0.04,0.0,0.0
1956.0,20,0.84,0.13,0.03,0.0,0.0
1957.0,20,0.85,0.12,0.03,0.0,0.0
1958.0,20,0.8686868686868687,0.1111111111111111,0.020202020202020204,0.0,0.0
1959.0,20,0.8787878787878788,0.10101010101010101,0.020202020202020204,0.0,0.0
1959.0,20,0.8787878787878788,0.10101010101010101,0.020202020202020204,0.0,0.0
1960.0,20,0.8787878787878788,0.10101010101010101,0.020202020202020204,0.0,0.0
1961.0,20,0.8787878787878788,0.10101010101010101,0.020202020202020204,0.0,0.0
1962.0,20,0.88,0.1,0.02,0.0,0.0
1963.0,20,0.8888888888888888,0.09090909090909091,0.020202020202020204,0.0,0.0
1964.0,20,0.89,0.09,0.02,0.0,0.0
1964.0,20,0.89,0.09,0.02,0.0,0.0
1965.0,20,0.89,0.09,0.02,0.0,0.0
1966.0,20,0.89,0.09,0.02,0.0,0.0
1967.0,20,0.88,0.1,0.02,0.0,0.0
1968.0,20,0.88,0.1,0.02,0.0,0.0
1969.0,20,0.8787878787878788,0.10101010101010101,0.020202020202020204,0.0,0.0
1969.0,20,0.8787878787878788,0.10101010101010101,0.020202020202020204,0.0,0.0
1970.0,20,0.87,0.11,0.02,0.0,0.0
1971.0,20,0.87,0.11,0.02,0.0,0.0
1972.0,20,0.87,0.11,0.02,0.0,0.0
1973.0,20,0.87,0.11,0.02,0.0,0.0
1974.0,20,0.88,0.1,0.02,0.0,0.0
1974.0,20,0.88,0.1,0.02,0.0,0.0
1975.0,20,0.88,0.1,0.02,0.0,0.0
1976.0,20,0.88,0.1,0.02,0.0,0.0
1977.0,20,0.88,0.1,0.02,0.0,0.0
1978.0,20,0.88,0.1,0.02,0.0,0.0
1979.0,20,0.87,0.11,0.02,0.0,0.0
1979.0,20,0.87,0.11,0.02,0.0,0.0
1980.0,20,0.87,0.11,0.02,0.0,0.0
1981.0,20,0.87,0.11,0.02,0.0,0.0
1982.0,20,0.87,0.11,0.02,0.0,0.0
1983.0,20,0.88,0.1,0.02,0.0,0.0
1984.0,20,0.8888888888888888,0.09090909090909091,0.020202020202020204,0.0,0.0
1984.0,20,0.8888888888888888,0.09090909090909091,0.020202020202020204,0.0,0.0
1985.0,20,0.89,0.09,0.02,0.0,0.0
1986.0,20,0.89,0.09,0.02,0.0,0.0
1987.0,20,0.89,0.09,0.02,0.0,0.0
1988.0,20,0.89,0.09,0.02,0.0,0.0
1989.0,20,0.89,0.09,0.02,0.0,0.0
1989.0,20,0.89,0.09,0.02,0.0,0.0
1990.0,20,0.89,0.09,0.02,0.0,0.0
1991.0,20,0.9,0.08,0.02,0.0,0.0
1992.0,20,0.900990099009901,0.07920792079207921,0.019801980198019802,0.0,0.0
1993.0,20,0.9191919191919192,0.0707070707070707,0.010101010101010102,0.0,0.0
1994.0,20,0.9292929292929293,0.06060606060606061,0.010101010101010102,0.0,0.0
1994.0,20,0.9292929292929293,0.06060606060606061,0.010101010101010102,0.0,0.0
1995.0,20,0.93,0.05,0.02,0.0,0.0
1996.0,20,0.94,0.05,0.01,0.0,0.0
1997.0,20,0.9494949494949495,0.04040404040404041,0.010101010101010102,0.0,0.0
1998.0,20,0.9494949494949495,0.04040404040404041,0.010101010101010102,0.0,0.0
1999.0,20,0.95,0.04,0.01,0.0,0.0
1999.0,20,0.95,0.04,0.01,0.0,0.0
2000.0,20,0.95,0.04,0.01,0.0,0.0
2000.0,20,0.95,0.04,0.01,0.0,0.0
1920.0,21,0.89,0.09,0.02,0.0,0.0
1921.0,21,0.88,0.1,0.02,0.0,0.0
1922.0,21,0.88,0.1,0.02,0.0,0.0
1923.0,21,0.8888888888888888,0.10101010101010101,0.010101010101010102,0.0,0.0
1924.0,21,0.8712871287128713,0.10891089108910891,0.019801980198019802,0.0,0.0
1924.0,21,0.8712871287128713,0.10891089108910891,0.019801980198019802,0.0,0.0
1925.0,21,0.8712871287128713,0.10891089108910891,0.019801980198019802,0.0,0.0
