year,age,one,two,three,four
1940.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1941.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1942.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1943.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1944.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1944.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1945.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1946.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1947.0,20,0.8750000000000001,0.125,0.0,0.0
1948.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1949.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1949.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1950.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1951.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1952.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1953.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1954.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1954.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1955.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1956.0,20,0.888888888888889,0.11111111111111112,0.0,0.0
1957.0,20,0.9,0.1,0.0,0.0
1958.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
1959.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1959.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1960.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
1961.0,20,0.8461538461538463,0.15384615384615388,0.0,0.0
1962.0,20,0.8571428571428572,0.14285714285714288,0.0,0.0
1963.0,20,0.8,0.2,0.0,0.0
1964.0,20,0.8,0.2,0.0,0.0
1964.0,20,0.8,0.2,0.0,0.0
1965.0,20,0.8125,0.1875,0.0,0.0
1966.0,20,0.7647058823529411,0.23529411764705882,0.0,0.0
1967.0,20,0.7647058823529411,0.23529411764705882,0.0,0.0
1968.0,20,0.7777777777777778,0.2222222222222222,0.0,0.0
1969.0,20,0.7777777777777778,0.2222222222222222,0.0,0.0
1969.0,20,0.7777777777777778,0.2222222222222222,0.0,0.0
1970.0,20,0.7777777777777777,0.22222222222222224,0.0,0.0
1971.0,20,0.7894736842105263,0.21052631578947367,0.0,0.0
1972.0,20,0.7894736842105263,0.21052631578947367,0.0,0.0
1973.0,20,0.7894736842105263,0.21052631578947367,0.0,0.0
1974.0,20,0.7777777777777778,0.2222222222222222,0.0,0.0
1974.0,20,0.7777777777777778,0.2222222222222222,0.0,0.0
1975.0,20,0.7777777777777778,0.2222222222222222,0.0,0.0
1976.0,20,0.8125,0.1875,0.0,0.0
1977.0,20,0.8,0.2,0.0,0.0
1978.0,20,0.8461538461538463,0.15384615384615388,0.0,0.0
1979.0,20,0.8333333333333333,0.16666666666666669,0.0,0.0
1979.0,20,0.8333333333333333,0.16666666666666669,0.0,0.0
1980.0,20,0.8333333333333333,0.16666666666666669,0.0,0.0
1981.0,20,0.8333333333333333,0.16666666666666669,0.0,0.0
1982.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1983.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
1984.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
1984.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
1985.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
1986.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
1987.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1988.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1989.0,20,0.8333333333333333,0.16666666666666669,0.0,0.0
1989.0,20,0.8333333333333333,0.16666666666666669,0.0,0.0
1990.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
1991.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
1992.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
1993.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
1994.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1994.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1995.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1996.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1997.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1998.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
1999.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
1999.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
2000.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
2001.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
2002.0,20,0.8461538461538461,0.15384615384615385,0.0,0.0
2003.0,20,0.8333333333333333,0.16666666666666666,0.0,0.0
2004.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2004.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2005.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2006.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2007.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2008.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2009.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2009.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2010.0,20,0.8181818181818181,0.18181818181818182,0.0,0.0
2011.0,20,0.7999999999999999,0.19999999999999998,0.0,0.0
